Tier 1: Foundation — Visual Pattern Editor,,,,,,,,,,,,,
X = surface swimmer   |   S = scuba/riser   |   * = runtime timing snapped to nearest 0.25 sec on this grid   |   Speed 180 px/sec   |   Pattern delay 0.78 sec,,,,,,,,,,,,,
Edit the marker cells or add new X/S markers. Rows are 1–6; columns are time. Exact current runtime placements are listed beneath every grid.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 1: opening-single-low — single lower-row obstacle,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,,,,,,,,,,,,,
Row 2,,,,,X,,,,,,,,
Row 3,,,,,,,,,X,,,,
Row 4,,,,,,,,,,,,,
Row 5,X,,,,,,,,,,,,
Row 6,,,,,,,,,,,,,
Exact source,head · Row 5 @ 0.00s,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 2: opening-single-high — single upper-row obstacle,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,,,,,,,,,,,,X,
Row 2,,,,,,,,X,,,,,
Row 3,,,,,,,,,,,,,
Row 4,X,,,,,,,,,,,,
Row 5,,,,,X,,,,,,,,
Row 6,,,,,,,,,,,X,,
Exact source,noodle-girl · Row 2 @ 0.00s,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 3: opening-pair-wide — wide separated pair,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,X,,,,X,,,,,,,X,
Row 2,,,,,,,,S,,,,,
Row 3,,,,,,,,,,,,,
Row 4,,,,,,,,,,,,,
Row 5,,,,,X,,,,,,,X,
Row 6,X,,,,,,,,X,,,,
Exact source,head · Row 2 @ 0.00s   |   tube-woman · Row 5 @ 0.00s,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 4: opening-gate-top — generous high opening,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,X,,,,,,,,S,,,,
Row 2,,,,,,,X,,,,,,
Row 3,,,,,,,,,,,,,
Row 4,,X,,,,,,,,,,X,
Row 5,,,X,,,,,,,,X,,
Row 6,,,,X,,X,,,,X,,,
Exact source,head · Row 1 @ 0.00s   |   noodle-man · Row 4 @ 0.25s   |   tube-woman · Row 5 @ 0.50s   |   scuba-man · Row 6 @ 0.75s,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 5: opening-gate-bottom — generous low opening,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,X,,,,,,,,X,,,,
Row 2,,X,,,,,X,,,X,,,
Row 3,,,X,,,X,,,,,X,,
Row 4,,,,X,,,,,,,,X,
Row 5,,,,,,,,,,,,,
Row 6,,,,,,,,S,,,,,
Exact source,tube-woman · Row 1 @ 0.00s   |   head · Row 2 @ 0.25s   |   noodle-girl · Row 3 @ 0.50s   |   scuba-man · Row 4 @ 0.75s,,,,,,,,,,,,
,,,,,,,,,,,,,
Pattern 6: opening-single-center — single center obstacle,,,,,,,,,,,,,
Time (sec),0.00,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00
Row 1,,,,,,,,,,,,,
Row 2,,,,,,,,,,,,,
Row 3,X,,,,,,,,X,,,X,
Row 4,,,,,X,,,S,,,,,
Row 5,,,,,,,,,,,,,
Row 6,,,,,,,,,,,,,
Exact source,tube-girl · Row 3 @ 0.00s,,,,,,,,,,,,
